( neut_book_s01_0001 "Et qu'il le veuille ou non, nous reviendrons vers le nord, c'est-à-dire, au pays des honnêtes gens." )
( neut_book_s01_0002 "Il était sept heures et demie du matin, quand les explorateurs, armés de bâtons, quittèrent les Cheminées." )
( neut_book_s01_0003 "Quant à ce feu, il fallait prendre garde de ne plus le laisser éteindre, et conserver toujours quelque braise sous la cendre." )
( neut_book_s01_0004 "Il filait comme un ballon emporté par le vent au-dessus des prairies terrestres ; mais il serait plus vrai de dire que nous étions dans ce salon comme dans le wagon d'un train express." )
( neut_book_s01_0005 "Son âme s'élançait jusque dans l'infini, et contemplait, détachée de ses sens, l'ordre immuable de l'univers." )
( neut_book_s01_0006 "Tu n'es plus mon neveu, mais mon collègue." )
( neut_book_s01_0008 "C'est que précisément, ce n'était pas un honnête navire ! répondit Nab." )
( neut_book_s01_0009 "Ils ont vu comme j'ai vu moi-même, et ils confirmeront mes paroles." )
( neut_book_s01_0010 "Nous repartirons demain, au point du jour, dit Pencroff à ses deux compagnons, vers deux heures après midi, se couchèrent, à l'ombre d'un bouquet de pins, afin de se reposer quelques instants." )
( neut_book_s01_0011 "Rien n'est facile, dit le capitaine Nemo." )
( neut_book_s01_0012 "Les colons, ne quittèrent, pas un instant le Nautilus." )
( neut_book_s01_0013 "Le premier qui s'avança, était un seigneur très riche, nommé Itobad, fort vain, peu courageux, très maladroit, et sans esprit." )
( neut_book_s01_0014 "Après avoir pansé ce malheureux, je rajustai les linges de sa tête, et je me retournai, vers le capitaine Nemo." )
( neut_book_s01_0015 "Vers le milieu de la rue non commerçante, je trouvai le cimetière public, enclos d'un mur en terre, et dans lequel, la place ne manquait pas." )
( neut_book_s01_0016 "À quelle distance cette grotte est-elle donc des récifs ?" )
( neut_book_s01_0017 "Et puis, ajouta le marin, si le document, avait plusieurs années de date, si depuis plusieurs années, il était enfermé dans cette bouteille, il eût été avarié par l'humidité." )
( neut_book_s01_0018 "Sa pâleur s'accroissait encore sous l'éclat électrique, qui baignait son lit de mort." )
( neut_book_s01_0019 "Mais, heureusement, la grande affaire du document, l'emporta." )
( neut_book_s01_0020 "Oh ! jouissance infinie ! une gorgée d'eau, vint humecter ma bouche en feu, une seule, mais elle suffit à rappeler en moi, la vie qui s'échappait." )
( neut_book_s01_0021 "Il devint l'arbitre, de tous les différends entre les négociants, l'ami des sages, le conseil du petit nombre de gens, qui prennent conseil." )
( neut_book_s01_0023 "Ces idées, on le comprend, se présentèrent à mon esprit, sous une forme vague, et obscure." )
( neut_book_s01_0025 "Et qui sait si, dans une époque éloignée, accrus par les déjections volcaniques et par les couches successives de laves, des sommets de montagnes, ignivomes n'apparaîtront pas à la surface de l'Atlantique !" )
( neut_book_s01_0027 "De la neige à cette époque ? répondit le reporter, qui avait rejoint le jeune garçon." )
( neut_book_s01_0028 "Les formidables coups de queue qui frappaient ses flancs, il ne les sentait pas." )
( neut_book_s01_0029 "Eh bien, s'il le faut, on relâchera à l'île Tabor pour y passer l'hiver ! Mais l'île Tabor après l'île Lincoln ! Ah ! malheur de ma vie ! Aurai-je cru jamais voir pareille chose !" )
( neut_book_s01_0030 "Utile végétal, dont la nature a gratifié les régions auxquelles le blé manque, et qui, sans exiger aucune culture, donne des fruits pendant huit mois de l'année." )
( neut_book_s01_0031 "Celui-ci revenait de temps en temps, à la surface de la mer pour respirer." )
( neut_book_s01_0032 "Pencroff, bien qu'il n'eût aucune confiance dans le procédé, essaya ensuite de frotter deux morceaux de bois sec l'un contre l'autre, à la manière des sauvages." )
( neut_book_s01_0033 "Monsieur foi, dis-je, j'en ai un autre à vous proposer." )
( neut_book_s01_0035 "Toute la cage, devait reposer sur un pivot maintenu dans de grosses charpentes, de manière à pouvoir tourner avec, tout le mécanisme qu'elle contenait, selon les demandes du vent." )
( neut_book_s01_0037 "Est-il donc muet ?  s'écria le professeur qui, très fier de son polyglottisme, recommença la même demande en français." )
( neut_book_s01_0039 "Ces produits délicieux de la zone torride, mûrissent pendant toute l'année, et les Malais, qui leur ont donné le nom de pisang, les mangent, sans les faire cuire." )
( neut_book_s01_0040 "Les deux carabines, et les deux fusils, avaient été chargés à balle." )
( neut_book_s01_0041 "Maintenant, quels étaient ces hommes ? Combien étaient-ils ? Combien en reste-t-il ?" )
( neut_book_s01_0043 "Quant à Ned Land, il ne parlait pas, mais il ouvrait des mâchoires, à effrayer un requin." )
( neut_book_s01_0045 "Nous vous accompagnerons, dis-je, et, suivant le capitaine Nemo, nous nous dirigeâmes vers l'escalier central." )
( neut_book_s01_0047 "Par une échelle extérieure, répondit Cyrus Smith, une échelle de corde, qui  une fois retirée, rendra impossible, l'accès de notre demeure." )
( neut_book_s01_0049 "Il était évident que le capitaine Nemo, avait donné cet ordre, en même temps qu'il faisait hâter, la marche du Nautilus." )
( neut_book_s01_0053 "Or, à quatre heures, il était visible que le ballon ne pouvait plus se soutenir." )
( neut_book_s01_0054 "Pencroff apportait à ce travail une activité dévorante, et ne se gênait pas de grommeler, quand l'un ou l'autre abandonnait la hache du charpentier pour le fusil du chasseur." )
( neut_book_s01_0055 "Le linge était abondant aussi, et on l'entretenait d'ailleurs, avec un soin, extrême." )
( neut_book_s01_0056 "Monsieur Aronnax, me dit-il d'un ton assez impérieux, je réclame de vous, l'observation de l'un des engagements qui vous lient à moi." )
( neut_book_s01_0057 "J'allai chercher dans la bibliothèque, quelque livre relatif à cette île, l'une des plus fertiles du globe." )
( neut_book_s01_0058 "était-ce dans sa tension excessive obtenue par des bobines d'une nouvelle sorte ?" )
( neut_book_s01_0059 "Les choses étaient dans l'état, où on les avait laissées." )
( neut_book_s01_0060 "En outre, elles étaient excellentes au point de vue comestible, ainsi que les tortues franches qui sont d'un goût exquis." )
( neut_book_s01_0061 "Quand le pinceau lui-même est inhabile à rendre les effets particuliers à l'élément liquide, comment la plume saurait-elle les reproduire ?" )
( neut_book_s01_0062 "Je suivais ces expériences, avec le plus vif intérêt." )
( neut_book_s01_0078 "Je ne le pensais pas, car jusqu'ici toutes les tentatives pour s'élever jusqu'à ce point du globe, avaient échoué." )
( neut_book_s01_0079 "Le Nautilus, emporté par son hélice, voyageait dans un fourreau d'éclairs." )
( neut_book_s01_0080 "Pendant cette journée, le Nautilus recommença plusieurs fois cette même expérience, et toujours, il vint se heurter contre la muraille, qui plafonnait, au-dessus de lui." )
( neut_book_s01_0081 "Combien dura cet état d'insensibilité, je ne saurais le dire." )
( neut_book_s01_0082 "Et ce qui ne s'expliquait pas davantage, c'était que l'ingénieur eût pu gagner, à plus d'un mille de la côte, cette grotte perdue au milieu des dunes." )
( neut_book_s01_0084 "Ce n'était qu'à la lueur des décharges, dont chacune devait porter, qu'on apercevait les assaillants, qui devaient être au moins une centaine, et dont les yeux brillaient comme des braises." )
( neut_book_s01_0085 "Elles ne poussent que pour moi seul." )
( neut_book_s01_0086 "Il faut, dit Zadig, qu'il y ait apparemment un plaisir bien délicieux, à être brûlée vive." )
( neut_book_s01_0087 "Ayrton se déshabilla, et se frotta de graisse, de manière à moins souffrir de la température de l'eau, qui était encore froide." )
( neut_book_s01_0088 "Ils firent une irruption, dans les États du bon Nabussan." )
( neut_book_s01_0089 "Je remontai dans ma chambre, et, laissant glisser ma valise sur les marches de l'escalier, je m'élançai à sa suite." )
( neut_book_s01_0090 "Je la montrai à mon oncle." )
( neut_book_s01_0091 "Et quel est donc le titre de ce merveilleux volume ? demandai-je avec un empressement trop enthousiaste, pour n'être pas feint." )
( neut_book_s01_0092 "Des empreintes de pas ? s'écria Pencroff." )
( neut_book_s01_0093 "Pencroff demanda Harbert, n'as-tu pas jeté cette boîte hors de la nacelle ?" )
( neut_book_s01_0098 "Je vois que nous commençons à nous entendre, monsieur le professeur, me dit le capitaine souriant à demi." )
( neut_book_s01_0099 "Le déjeuner terminé, je me rendis à terre." )
( neut_book_s01_0100 "l'important est que ces pirates aient été exterminés !" )
( neut_book_s01_0101 "Et, qui ne s'y fût pas trompé ?" )
( neut_book_s01_0107 "Arrivés au tournant, ils virent que la situation avait changé." )
( neut_book_s01_0111 "Avait-il figuré dans les dernières commotions politiques ou sociales de ce siècle ?" )
( neut_book_s01_0112 "Les nuages, lourds, entassés à l'horizon, ne laissaient filtrer aucune lueur." )
( neut_book_s01_0113 "Je crains toujours que le phénomène électrique, ne vienne à s'obscurcir, puis à s'éteindre." )
( neut_book_s01_0114 "Vous savez, monsieur ces requins, ce sont des bêtes assez mal façonnées." )
( neut_book_s01_0115 "l'observation du reporter était juste, et chacun le sentait bien." )
( neut_book_s01_0116 "Qui sait pourtant s'il serait bien reçu." )
( neut_book_s01_0117 "Bien imaginé monsieur Aronnax, répondit en souriant le capitaine." )
( neut_book_s01_0118 "Bientôt Cyrus Smith, Harbert, Gédéon Spilett, Nab et le marin étaient réunis sur la grève, en un point où le canal laissait une sorte de passage guéable à mer basse." )
( neut_book_s01_0119 "Je ne sais pourquoi, il me vint à la pensée que ce bateau enfoui sous la mer, pouvait être l'Atlas, disparu corps ethh biens depuis une vingtaine d'années, et dont on n'a jamais entendu parler !" )
( neut_book_s01_0120 "Quelle étrange puissance nous emportait ?" )
( neut_book_s01_0121 "Jamais appareil, caudal, ne battit la mer avec une telle puissance." )
( neut_book_s01_0122 "Qu'ai-je découvert jusqu'ici ?" )
( neut_book_s01_0123 "Une dizaine d'hommes montèrent sur les flancs du Nautilus, et armés de pics, ils cassèrent la glace autour de la carène, qui fut bientôt dégagée." )
( neut_book_s01_0124 "Le capitaine pressa trois fois, un timbre électrique." )
( neut_book_s01_0125 "Les progrès sont lents, monsieur Aronnax." )
( neut_book_s01_0126 "Laissons courir, comme vous dites, vous autres marins." )
( neut_book_s01_0127 "Il arriverait donc que vous en consommeriez pour le produire plus que vous n'en produiriez !" )
( neut_book_s01_0128 "Il fut continué par Darius, fils d'Hystaspe, et probablement achevé, par Ptolémée Ii." )
( neut_book_s01_0129 "Nous allons maintenant revêtir nos scaphandres, et nous commencerons notre promenade." )
( neut_book_s01_0130 "On bénissait Zadig, et Zadig bénissait le ciel." )
( neut_book_s01_0131 "Très bien, répondis-je ; je suis encore brisé, mais cela ne sera rien." )
( neut_book_s01_0133 "Gédéon Spilett marquait au premier rang de ces délégués." )
( neut_book_s01_0134 "Quel était le correspondant du capitaine Nemo ?" )
