( neut_book_s01_0001 "et qu'il le veuille ou non, nous reviendrons vers le nord, c'est-à-dire, au pays des honnêtes gens." )
( neut_book_s01_0002 "il était sept heures et demie du matin, quand les explorateurs, armés de bâtons, quittèrent les cheminées." )
( neut_book_s01_0003 "quant à ce feu, il fallait prendre garde de ne plus le laisser éteindre, et conserver toujours quelque braise sous la cendre." )
( neut_book_s01_0004 "il filait comme un ballon emporté par le vent au-dessus des prairies terrestres ; mais il_ serait plus vrai de dire que nous étions dans ce salon comme dans le wagon d'un train express." )
( neut_book_s01_0005 "son âme s'élançait jusque dans l'infini, et contemplait, détachée de ses sens, l'ordre immuable de l'univers." )
( neut_book_s01_0006 "tu n'es plus mon neveu, mais mon collègue." )
( neut_book_s01_0009 "ils ont vu comme j'ai vu moi-même, et ils confirmeront mes paroles." )
( neut_book_s01_0010 "nous repartirons demain au point du jour, dit pencroff à ses deux compagnons, vers deux heures après midi, se couchèrent à l'ombre d'un bouquet de pins, afin de se reposer quelques instants." )
( neut_book_s01_0011 "rien n'est facile, dit le capitaine nemo." )
( neut_book_s01_0012 "les colons, ne quittèrent, pas un instant le nautilus." )
( neut_book_s01_0013 "le premier qui s'avança, était un seigneur très riche, nommé itobad, fort vain, peu courageux, très maladroit, et sans esprit." )
( neut_book_s01_0014 "après avoir pansé ce malheureux, je rajustai les linges de sa tête, et je me retournai, vers le capitaine nemo." )
( neut_book_s01_0015 "vers le milieu de la rue non commerçante, je trouvai le cimetière public, enclos d'un mur en terre, et dans lequel, la place ne manquait pas." )
( neut_book_s01_0016 "à quelle distance cette grotte est-elle donc des récifs ?" )
( neut_book_s01_0017 "et puis, ajouta le marin, si le document, avait plusieurs années de date, si depuis plusieurs années, il était enfermé dans cette bouteille, il eût été avarié par l'humidité." )
( neut_book_s01_0018 "sa pâleur s'accroissait encore sous l'éclat électrique, qui baignait son lit de mort." )
( neut_book_s01_0019 "mais, heureusement, la grande affaire du document, l'emporta." )
( neut_book_s01_0020 "oh ! jouissance infinie ! une gorgée d'eau, vint humecter ma bouche en feu, une seule, mais elle suffit à rappeler en moi, la vie qui s'échappait." )
( neut_book_s01_0025 "et qui sait si, dans une époque éloignée, accrus par les déjections volcaniques et par les couches successives de laves, des sommets de montagnes, ignivomes n'apparaîtront pas à la surface de l'atlantique !" )
( neut_book_s01_0027 "de la neige à cette époque ? répondit le reporter, qui avait rejoint le jeune garçon." )
( neut_book_s01_0028 "les formidables coups de queue qui frappaient ses flancs, il ne les sentait pas." )
( neut_book_s01_0029 "eh bien, s'il le faut, on relâchera à l'île tabor pour y passer l'hiver ! mais l'île tabor après l'île lincoln ! ah ! malheur de ma vie ! aurai-je cru jamais voir pareille chose !" )
( neut_book_s01_0030 "utile végétal, dont la nature a gratifié les régions, auxquelles le blé manque, et qui, sans exiger aucune culture, donne des fruits pendant huit mois de l'année." )
( neut_book_s01_0031 "celui-ci revenait de temps en temps, à la surface de la mer, pour respirer." )
( neut_book_s01_0032 "pencroff, bien qu'il n'eût aucune confiance dans le procédé, essaya ensuite de frotter deux morceaux de bois sec l'un contre l'autre, à la manière des sauvages." )
( neut_book_s01_0033 "monsieur foi, dis-je, j'en ai un autre à vous proposer." )
( neut_book_s01_0035 "toute la cage devait reposer sur un pivot maintenu dans de grosses charpentes, de manière à pouvoir tourner avec tout le mécanisme qu'elle contenait selon les demandes du vent." )
( neut_book_s01_0037 "est-il donc muet ? s'écria le professeur qui, très fier de son polyglottisme, recommença la même demande en français." )
( neut_book_s01_0040 "les deux carabines, et les deux fusils, avaient été chargés à balle." )
( neut_book_s01_0041 "maintenant, quels étaient ces hommes ? combien étaient-ils ? combien en reste-t-il ?" )
( neut_book_s01_0043 "quant à ned land, il ne parlait pas, mais z_il ouvrait des mâchoires, à effrayer un requin." )
( neut_book_s01_0045 "nous vous accompagnerons, dis-je, et, suivant le capitaine nemo, nous nous dirigeâmes vers l'escalier central." )
( neut_book_s01_0047 "par une échelle extérieure, répondit cyrus smith, une échelle de corde, qui une fois retirée, rendra impossible, l'accès de notre demeure." )
( neut_book_s01_0049 "il était évident que le capitaine Nemo, avait donné cet ordre en même temps qu'il faisait hâter, la marche du nautilus." )
( neut_book_s01_0053 "or, à quatre heures, il était visible que le ballon ne pouvait plus se soutenir." )
( neut_book_s01_0054 "pencroff apportait à ce travail, une activité dévorante, et ne se gênait pas de grommeler, quand l'un ou l'autre abandonnait la hache du charpentier pour le fusil du chasseur." )
( neut_book_s01_0055 "Le linge était abondant aussi, et on l'entretenait d'ailleurs, avec un soin, extrême." )
( neut_book_s01_0056 "monsieur aronnax, me dit-il d'un ton assez impérieux, je réclame de vous, l'observation de l'un des engagements qui vous lient à moi." )
( neut_book_s01_0057 "j'allai chercher dans la bibliothèque, quelque livre relatif à cette île, l'une des plus fertiles du globe." )
( neut_book_s01_0059 "Les choses étaient dans l'état, où on les avait laissées." )
( neut_book_s01_0060 "en outre, elles étaient excellentes au point de vue comestible, ainsi que les tortues franches qui sont d'un goût exquis." )
( neut_book_s01_0061 "quand le pinceau lui-même est inhabile à rendre les effets particuliers à l'élément liquide, comment la plume saurait-elle les reproduire ?" )
( neut_book_s01_0062 "je suivais ces expériences, avec le plus vif intérêt." )
( neut_book_s01_0067 "l'ingénieur, réchauffé par ce rude massage, remua légèrement le bras, et sa respiration commença à se rétablir d'une façon plus régulière." )
( neut_book_s01_0068 "poursuivons jusqu'au bout cette exploration, dit-il." )
( neut_book_s01_0069 "vers sept heures du soir, le nautilus à demi immergé navigua au milieu d'une mer de lait." )
( neut_book_s01_0071 "mon oncle se précipita sur ce brimborion, avec une avidité facile à comprendre." )
( neut_book_s01_0073 "les étables contenaient maintenant cinq onaggas, dont quatre vigoureux, bien dressés, se laissant atteler ou monter, et un petit qui venait de naître." )
( neut_book_s01_0074 "il était grand, et promettait de devenir un homme de noble, et belle prestance." )
( neut_book_s01_0078 "je ne le pensais pas, car jusqu'ici, toutes les tentatives pour s'élever jusqu'à ce point du globe, avaient échoué." )
( neut_book_s01_0079 "le nautilus, emporté par son hélice, voyageait dans un fourreau d'éclairs." )
( neut_book_s01_0080 "pendant cette journée, le nautilus recommença plusieurs fois cette même expérience, et toujours, il vint se heurter contre la muraille, qui plafonnait, au-dessus de lui." )
( neut_book_s01_0081 "combien dura cet état d'insensibilité, je ne saurais le dire." )
( neut_book_s01_0082 "et ce qui ne s'expliquait pas davantage, c'était que l'ingénieur eût pu gagner, à plus d'un mille de la côte, cette grotte perdue au milieu des dunes." )
( neut_book_s01_0084 "ce n'était qu'à la lueur des décharges, dont chacune devait porter, qu'on apercevait les assaillants, qui devaient être au moins une centaine, et dont les yeux brillaient comme des braises." )
( neut_book_s01_0085 "elles ne poussent que pour moi seul." )
( neut_book_s01_0086 "il faut, dit zadig, qu'il y ait apparemment un plaisir bien délicieux, à être brûlée vive." )
( neut_book_s01_0087 "ayrton se déshabilla, et se frotta de graisse, de manière à moins souffrir de la température de l'eau, qui était encore froide." )
( neut_book_s01_0088 "ils firent une irruption, dans les états du bon Nabussan." )
( neut_book_s01_0089 "je remontai dans ma chambre, et, laissant glisser ma valise sur les marches de l'escalier, je m'élançai à sa suite." )
( neut_book_s01_0090 "je la montrai à mon oncle." )
( neut_book_s01_0091 "et quel est donc le titre de ce merveilleux volume ? demandai-je avec un empressement trop enthousiaste, pour n'être pas feint." )
( neut_book_s01_0092 "des empreintes de pas ? s'écria pencroff." )
( neut_book_s01_0093 "pencroff demanda harbert, n'as-tu pas jeté cette boîte hors de la nacelle ?" )
( neut_book_s01_0098 "Je vois que nous commençons à nous entendre, monsieur le professeur, me dit le capitaine souriant à demi." )
( neut_book_s01_0099 "le déjeuner terminé, je me rendis à terre." )
( neut_book_s01_0100 "l'important, est que ces pirates aient été exterminés !" )
( neut_book_s01_0101 "et, qui ne s'y fût pas trompé ?" )
( neut_book_s01_0107 "arrivés au tournant, ils virent que la situation avait changé." )
( neut_book_s01_0111 "avait-il figuré dans les dernières commotions politiques ou sociales de ce siècle ?" )
( neut_book_s01_0112 "les nuages, lourds, entassés à l'horizon, ne laissaient filtrer aucune lueur." )
( neut_book_s01_0113 "je crains toujours que le phénomène électrique, ne vienne à s'obscurcir, puis à s'éteindre." )
( neut_book_s01_0114 "Vous savez, monsieur, ces requins ce sont des bêtes assez mal façonnées." )
( neut_book_s01_0115 "l'observation du reporter était juste, et chacun le sentait bien." )
( neut_book_s01_0116 "qui sait pourtant s'il serait bien reçu !" )
( neut_book_s01_0119 "je ne sais pourquoi, il me vint à la pensée que ce bateau, enfoui sous la mer, pouvait être l'atlas, disparu corps et biens depuis une vingtaine d'années, et dont on n'a jamais entendu parler !" )
( neut_book_s01_0120 "quelle étrange puissance nous emportait !" )
( neut_book_s01_0121 "jamais appareil, caudal, ne battit la mer avec une telle puissance." )
( neut_book_s01_0122 "qu'ai-je découvert jusqu'ici ?" )
( neut_book_s01_0123 "une dizaine d'hommes montèrent sur les flancs du nautilus, et armés de pics, ils cassèrent la glace autour de la carène, qui fut bientôt dégagée." )
( neut_book_s01_0124 "Le capitaine pressa trois fois, un timbre électrique." )
( neut_book_s01_0125 "les progrès sont lents, monsieur aronnax." )
( neut_book_s01_0126 "laissons courir, comme vous dites, vous autres marins." )
( neut_book_s01_0127 "il arriverait donc que vous en consommeriez pour le produire, plus que vous n'en produiriez !" )
( neut_book_s01_0128 "il fut continué par Darius, fils d'hystaspe, et probablement achevé, par ptolémée li." )
( neut_book_s01_0129 "Nous allons maintenant revêtir nos scaphandres, et nous commencerons notre promenade." )
( neut_book_s01_0130 "On bénissait Zadig, et Zadig bénissait le ciel." )
( neut_book_s01_0131 "très bien, répondis-je ; je suis encore brisé, mais cela ne sera rien." )
( neut_book_s01_0133 "gédéon Spilett marquait au premier rang de ces délégués." )
( neut_book_s01_0134 "quel était le correspondant du capitaine Nemo ?" )
( neut_book_s01_0135 "il désirait reconnaître ce lac grant, si magnifiquement encadré dans sa bordure d'arbres." )
( neut_book_s01_0136 "mon oncle revint sur ses pas." )
( neut_book_s01_0137 "toute trace de tempête, avait disparu." )
( neut_book_s01_0139 "tranquillisez-vous monsieur le professeur, il n'y a pas là de quoi se préoccuper." )
( neut_book_s01_0140 "toute leur science, toute leur intelligence, ne pouvait rien dans cette situation." )
